Series Id,Year,Period,Value
ENU3702140010,2001,Q01,535
ENU3702140010,2001,Q02,535
ENU3702140010,2001,Q03,547
ENU3702140010,2001,Q04,590
ENU3702140010,2001,Q05,552
ENU3702140010,2002,Q01,547
ENU3702140010,2002,Q02,540
ENU3702140010,2002,Q03,551
ENU3702140010,2002,Q04,590
ENU3702140010,2002,Q05,557
ENU3702140010,2003,Q01,553
ENU3702140010,2003,Q02,548
ENU3702140010,2003,Q03,563
ENU3702140010,2003,Q04,617
ENU3702140010,2003,Q05,570
ENU3702140010,2004,Q01,562
ENU3702140010,2004,Q02,567
ENU3702140010,2004,Q03,584
ENU3702140010,2004,Q04,649
ENU3702140010,2004,Q05,591
ENU3702140010,2005,Q01,572
ENU3702140010,2005,Q02,601
ENU3702140010,2005,Q03,614
ENU3702140010,2005,Q04,660
ENU3702140010,2005,Q05,612
ENU3702140010,2006,Q01,613
ENU3702140010,2006,Q02,620
ENU3702140010,2006,Q03,625
ENU3702140010,2006,Q04,689
ENU3702140010,2006,Q05,637
ENU3702140010,2007,Q01,637
ENU3702140010,2007,Q02,643
ENU3702140010,2007,Q03,647
ENU3702140010,2007,Q04,712
ENU3702140010,2007,Q05,660
ENU3702140010,2008,Q01,657
ENU3702140010,2008,Q02,659
ENU3702140010,2008,Q03,664
ENU3702140010,2008,Q04,726
ENU3702140010,2008,Q05,676
ENU3702140010,2009,Q01,655
ENU3702140010,2009,Q02,659
ENU3702140010,2009,Q03,668
ENU3702140010,2009,Q04,746
ENU3702140010,2009,Q05,682
ENU3702140010,2010,Q01,648
ENU3702140010,2010,Q02,673
ENU3702140010,2010,Q03,690
ENU3702140010,2010,Q04,747
ENU3702140010,2010,Q05,690
ENU3702140010,2011,Q01,675
ENU3702140010,2011,Q02,672
ENU3702140010,2011,Q03,713
ENU3702140010,2011,Q04,734
ENU3702140010,2011,Q05,699
ENU3702140010,2012,Q01,712
ENU3702140010,2012,Q02,681
ENU3702140010,2012,Q03,699
ENU3702140010,2012,Q04,752
ENU3702140010,2012,Q05,711
ENU3702140010,2013,Q01,717
ENU3702140010,2013,Q02,690
ENU3702140010,2013,Q03,713
ENU3702140010,2013,Q04,758
ENU3702140010,2013,Q05,720
ENU3702140010,2014,Q01,728
ENU3702140010,2014,Q02,703
ENU3702140010,2014,Q03,730
ENU3702140010,2014,Q04,798
ENU3702140010,2014,Q05,740
ENU3702140010,2015,Q01,727
ENU3702140010,2015,Q02,725
ENU3702140010,2015,Q03,759
ENU3702140010,2015,Q04,841
ENU3702140010,2015,Q05,764
ENU3702140010,2016,Q01,737
ENU3702140010,2016,Q02,760
ENU3702140010,2016,Q03,787
ENU3702140010,2016,Q04,838
ENU3702140010,2016,Q05,781
ENU3702140010,2017,Q01,794
ENU3702140010,2017,Q02,783
ENU3702140010,2017,Q03,788
ENU3702140010,2017,Q04,851
ENU3702140010,2017,Q05,804
ENU3702140010,2018,Q01,813
ENU3702140010,2018,Q02,805
ENU3702140010,2018,Q03,820
ENU3702140010,2018,Q04,897
ENU3702140010,2018,Q05,834
ENU3702140010,2019,Q01,847
ENU3702140010,2019,Q02,841
ENU3702140010,2019,Q03,846
ENU3702140010,2019,Q04,915
ENU3702140010,2019,Q05,863
ENU3702140010,2020,Q01,869
ENU3702140010,2020,Q02,917
ENU3702140010,2020,Q03,904
ENU3702140010,2020,Q04,1024
ENU3702140010,2020,Q05,928
ENU3702140010,2021,Q01,895
ENU3702140010,2021,Q02,931
ENU3702140010,2021,Q03,978
ENU3702140010,2021,Q04,1069
ENU3702140010,2021,Q05,970
ENU3702140010,2022,Q01,972(P)
ENU3702140010,2022,Q02,990(P)